code,name,hex_approx,chart_column,chart_row
10001,,#e8ecf5,1,1
10082,,#687abf,2,1
10104,,#2b2b2b,3,1
10066,,#5dc8c1,4,1
10008,,#f8f8f6,1,2
10061,,#01b6ad,2,2
10085,,#3d4452,3,2
10067,,#99ebee,4,2
10006,,#f9f4da,1,3
10062,,#018eb4,2,3
10101,,#fbf791,3,3
10404,,#c5e5f9,4,3
10004,,#f8f8b4,1,4
10063,,#82dbb5,2,4
10361,,#ddc997,3,4
10090,,#373f4d,4,4
10007,,#f9f8b1,1,5
10030,,#aed179,2,5
10102,,#f7d836,3,5
10501,,#41465d,4,5
10005,,#f7e86a,1,6
10021,,#006455,2,6
10106,,#e49c47,3,6
10087,,#333b50,4,6
10002,,#faa632,1,7
10022,,#b8bd7e,2,7
10107,,#f79e21,3,7
10083,,#2a2e33,4,7
10052,,#efe19c,1,8
10024,,#808b3f,2,8
10049,,#f98637,3,8
10093,,#b2a9a5,4,8
10056,,#d6b582,1,9
10029,,#20bc05,2,9
10059,,#a89a75,3,9
10552,,#827a71,4,9
10057,,#d7b47e,1,10
10026,,#059c48,2,10
10375,,#d3ba85,3,10
10091,,#62696b,4,10
10003,,#a07730,1,11
10028,,#6b774e,2,11
10376,,#c0ad89,3,11
10551,,#6a6d60,4,11
10351,,#c58040,1,12
10023,,#4c522e,2,12
10372,,#be9e75,3,12
10084,,#375065,4,12
10051,,#b7652b,1,13
10204,,#3f4830,2,13
10357,,#a85437,3,13
10000,,#373d36,4,13
10027,,#a59b3f,1,14
10353,,#cfb88e,2,14
10368,,#7f5431,3,14
10077,,#783e54,4,14
10060,,#f0c696,1,15
10043,,#f6b587,2,15
10362,,#937456,3,15
10076,,#513a46,4,15
10044,,#f7debd,1,16
10354,,#e9ca88,2,16
10153,,#6b3331,3,16
10079,,#43393b,4,16
10034,,#f68179,1,17
10010,,#f7a928,2,17
10152,,#793738,3,17
10078,,#563a5a,4,17
10048,,#f7b266,1,18
10047,,#f5a456,2,18
10155,,#533b35,3,18
10369,,#423a31,4,18
10042,,#f57f40,1,19
10103,,#f7f950,2,19
10151,,#5b3c3d,3,19
10016,,#443435,4,19
10045,,#f66a40,1,20
10050,,#eb8681,2,20
10305,,#f8d9c4,3,20
10058,,#453f39,4,20
10041,,#db4f36,1,21
10036,,#f7becc,2,21
10260,,#f59798,3,21
10097,,#41453a,4,21
10018,,#f73d41,1,22
10040,,#f7a891,2,22
10037,,#f597b2,3,22
10379,,#8b8266,4,22
10014,,#cd121f,1,23
10251,,#f7accc,2,23
10303,,#f66d75,3,23
10096,,#797468,4,23
10012,,#b03a3b,1,24
10020,,#783c39,2,24
10259,,#f75179,3,24
10213,,#6c6d4b,4,24
10019,,#9f4447,1,25
10038,,#f65160,2,25
10218,,#aabf5d,3,25
10095,,#abb4a0,4,25
10033,,#f78096,1,26
10039,,#c05c6a,2,26
10220,,#00564e,3,26
10381,,#716146,4,26
10031,,#f04483,1,27
10074,,#a3717b,2,27
10208,,#50b6a4,3,27
10054,,#585339,4,27
10032,,#bc0174,1,28
10202,,#01a493,2,28
10405,,#cdf2dd,3,28
10055,,#655d4b,4,28
10013,,#c0444c,1,29
10068,,#74c0d9,2,29
10223,,#84c5ba,3,29
10356,,#705b38,4,29
10011,,#a53b43,1,30
10201,,#018575,2,30
10403,,#76e4c1,3,30
10360,,#7a6745,4,30
10080,,#650047,1,31
10203,,#bdcc8f,2,31
10214,,#b0c29d,3,31
10367,,#6c5c4d,4,31
10072,,#493f44,1,32
10352,,#977d40,2,32
10217,,#5a9763,3,32
10100,,#65564c,4,32
10081,,#343a77,1,33
10358,,#826952,2,33
10070,,#4ca495,3,33
10205,,#454940,4,33
10071,,#350069,1,34
10053,,#6b472e,2,34
10206,,#75a092,3,34
10363,,#846944,4,34
10064,,#9bf0f9,1,35
10359,,#584638,2,35
10025,,#3b4c44,3,35
10207,,#6b821e,4,35
